content_cost_ratio,competitor_moves,price_increase_pct,bundle_member,tenure_months,engagement_hours,support_tickets,region,plan_type,churn
0.505,0,2.08,0,13,54.8,0,NA,Basic,0
0.565,1,4.16,0,7,65.9,1,EU,Standard,0
0.636,1,0.68,0,8,51.5,1,NA,AdTier,0
0.638,2,4.72,0,16,13.7,0,NA,Basic,1
0.446,6,0.0,1,42,24.3,3,APAC,AdTier,0
0.464,0,5.64,0,14,42.5,0,LATAM,Premium,0
0.609,3,2.05,0,35,40.0,0,NA,Basic,0
0.457,3,6.06,1,20,40.4,1,EU,Standard,0
0.441,0,1.32,1,6,39.7,0,EU,Basic,0
0.491,2,6.85,1,18,8.9,2,APAC,AdTier,1
0.545,2,1.08,1,3,61.1,0,EU,AdTier,0
0.514,1,0.0,1,11,57.5,0,EU,Standard,0
0.481,2,3.09,1,2,55.4,0,APAC,AdTier,0
0.48,3,5.47,1,4,53.6,1,EU,Standard,0
0.477,1,4.58,1,8,39.3,0,EU,Premium,0
0.467,0,5.33,1,120,32.9,1,NA,Standard,0
0.657,3,4.62,0,15,24.6,0,APAC,Basic,1
0.538,2,1.36,0,55,75.9,1,EU,Standard,0
0.573,2,4.53,0,25,44.6,0,EU,Standard,1
0.491,1,3.19,0,33,11.8,0,EU,Basic,0
0.509,2,1.58,0,16,44.4,1,EU,Standard,1
0.477,0,3.36,0,4,3.3,2,EU,AdTier,0
0.4,0,2.89,0,9,50.0,0,EU,Premium,0
0.437,1,5.83,1,32,47.9,0,NA,Standard,0
0.411,0,1.97,0,62,34.2,0,APAC,Standard,0
0.4,1,1.88,1,9,26.2,1,NA,AdTier,0
0.448,1,1.6,1,44,56.2,0,LATAM,Standard,0
0.599,3,6.79,1,1,43.3,1,LATAM,Standard,0
0.517,2,1.71,0,28,6.2,0,APAC,Standard,0
0.597,2,5.59,1,52,69.1,1,NA,AdTier,0
0.545,2,0.94,0,7,26.2,0,NA,Standard,0
0.567,2,4.01,1,8,18.6,0,EU,Standard,0
0.466,0,3.53,0,36,72.2,0,NA,AdTier,0
0.551,5,5.47,0,1,66.2,0,LATAM,Premium,0
0.564,1,5.18,0,14,36.6,0,EU,AdTier,0
0.485,3,3.16,1,1,20.0,0,APAC,Standard,1
0.554,2,1.93,1,47,26.8,2,LATAM,AdTier,1
0.554,2,6.25,1,1,36.3,0,LATAM,AdTier,1
0.487,1,1.73,1,11,69.3,0,NA,Premium,0
0.453,3,0.0,0,2,70.9,3,LATAM,AdTier,0
0.449,1,0.0,1,28,48.3,1,NA,Standard,0
0.525,1,0.0,0,25,58.0,0,APAC,Standard,0
0.54,2,4.19,1,7,40.8,0,APAC,Standard,0
0.472,0,7.43,1,12,27.5,0,NA,Premium,0
0.522,2,0.0,0,1,15.0,0,NA,Premium,0
0.554,1,1.43,0,11,51.5,0,EU,AdTier,0
0.557,0,3.18,1,5,63.0,0,EU,Standard,0
0.613,3,6.09,1,17,34.8,0,APAC,Standard,0
0.597,1,1.42,1,5,68.8,0,NA,Standard,0
0.46,0,4.18,1,1,37.3,0,EU,Premium,0
0.621,1,2.5,1,1,46.7,1,APAC,Premium,0
0.488,1,8.21,0,20,40.6,0,NA,AdTier,0
0.583,1,3.29,0,22,69.7,1,EU,AdTier,0
0.524,1,3.71,1,10,54.9,0,EU,Standard,0
0.495,2,3.17,0,12,43.8,0,LATAM,Basic,0
0.412,1,2.17,1,14,46.5,0,LATAM,Standard,0
0.51,2,4.9,0,22,21.2,0,EU,Premium,0
0.426,1,0.68,1,24,0.3,2,EU,Basic,0
0.578,0,0.0,0,19,34.4,0,EU,Basic,1
0.611,2,2.7,1,24,41.1,0,EU,AdTier,0
0.472,3,4.63,0,5,55.6,2,APAC,Standard,0
0.538,3,1.84,0,6,41.7,1,NA,AdTier,1
0.476,6,3.37,0,10,35.6,1,NA,Standard,1
0.482,1,0.56,1,3,0.0,0,EU,AdTier,0
0.566,4,5.13,0,16,55.5,1,NA,Premium,1
0.518,3,4.3,0,60,49.2,1,APAC,Premium,0
0.624,3,3.04,1,6,61.3,0,NA,Standard,0
0.491,2,3.34,0,19,45.5,1,EU,Standard,0
0.58,0,0.21,0,1,67.9,2,NA,Premium,0
0.526,2,0.3,0,8,34.0,0,EU,Standard,0
0.568,1,2.76,0,3,44.2,1,NA,Standard,0
0.493,0,4.03,0,1,49.8,0,EU,AdTier,0
0.517,2,4.13,0,87,58.2,0,APAC,AdTier,0
0.513,2,2.27,0,4,53.3,0,APAC,AdTier,1
0.47,2,4.49,0,69,54.6,1,NA,Premium,0
0.56,2,5.84,0,9,50.4,3,EU,Premium,1
0.559,3,2.82,0,14,41.1,0,NA,AdTier,0
0.556,2,3.62,0,68,63.0,0,EU,Premium,0
0.612,1,2.58,0,21,11.5,1,APAC,Basic,0
0.607,2,2.75,0,11,32.4,0,APAC,Standard,0
0.498,1,3.34,1,6,76.8,2,APAC,Basic,1
0.542,4,6.41,0,8,31.5,1,EU,Basic,1
0.483,1,4.83,1,8,43.4,2,APAC,Premium,0
0.521,2,4.65,0,2,72.8,1,NA,AdTier,1
0.484,1,2.09,0,16,42.5,0,NA,Basic,1
0.617,1,1.2,1,3,28.3,1,EU,Premium,0
0.542,0,3.78,0,19,69.0,2,EU,Standard,0
0.507,2,5.49,1,8,39.2,0,APAC,Premium,0
0.592,2,6.45,0,21,40.6,0,APAC,Premium,0
0.4,3,0.0,0,22,5.4,0,APAC,Standard,1
0.4,2,7.89,0,1,42.5,0,APAC,Standard,0
0.568,0,3.83,1,4,58.7,0,EU,Standard,0
0.524,1,4.82,0,20,36.4,0,NA,Standard,0
0.535,6,0.0,0,35,19.4,1,NA,Premium,0
0.44,1,2.53,1,1,35.4,0,NA,Standard,0
0.519,1,4.65,0,43,32.7,0,NA,Standard,0
0.64,1,0.65,0,10,39.9,0,APAC,Standard,0
0.569,2,0.0,0,1,34.6,0,APAC,Basic,0
0.53,2,3.67,1,40,78.3,1,EU,Standard,0
0.494,2,2.9,0,64,51.0,1,NA,Basic,0
0.496,1,5.88,1,2,10.2,0,EU,AdTier,0
0.4,2,2.68,1,28,46.4,1,APAC,AdTier,0
0.535,2,2.83,0,5,44.2,0,NA,Basic,0
0.571,0,4.4,0,14,68.9,0,NA,Premium,0
0.425,2,5.07,0,20,41.9,1,EU,Standard,0
0.48,2,1.58,0,2,41.3,0,NA,Standard,0
0.451,1,4.89,0,27,82.3,1,EU,Standard,0
0.462,1,1.96,0,34,23.6,1,LATAM,Standard,0
0.523,2,3.03,1,9,61.0,1,NA,Premium,0
0.4,2,4.34,0,9,46.3,0,NA,Standard,0
0.557,4,4.69,1,12,35.0,0,EU,Basic,0
0.565,6,3.64,1,7,32.0,1,NA,Standard,0
0.505,3,0.84,0,2,72.2,0,APAC,Basic,0
0.4,2,0.0,1,4,54.3,0,NA,AdTier,0
0.46,2,2.62,1,4,57.0,1,NA,Standard,0
0.594,0,4.94,0,2,62.8,0,EU,Basic,0
0.4,3,3.9,0,19,51.8,0,APAC,Standard,0
0.499,0,3.48,0,18,23.8,0,NA,Standard,0
0.449,4,2.99,0,2,13.6,0,NA,Premium,1
0.568,1,3.62,1,1,75.8,1,NA,Premium,0
0.479,4,1.01,0,1,49.2,0,NA,Premium,0
0.544,0,4.56,0,1,46.6,0,NA,Standard,0
0.554,3,4.69,1,21,81.1,0,EU,AdTier,0
0.63,1,2.29,1,6,23.7,1,APAC,Basic,0
0.508,1,3.87,0,33,0.0,1,APAC,Standard,1
0.543,3,0.0,0,4,8.8,1,APAC,AdTier,1
0.431,0,3.36,0,7,34.4,0,APAC,Standard,0
0.591,5,2.73,1,18,47.3,1,EU,AdTier,1
0.474,2,5.52,0,47,72.8,0,LATAM,Premium,0
0.486,1,2.6,0,10,61.9,0,APAC,Standard,0
0.519,2,4.74,1,19,0.0,0,EU,Premium,0
0.426,2,2.22,0,42,101.0,0,NA,AdTier,0
0.534,5,0.0,0,22,36.8,1,APAC,Premium,1
0.578,3,2.55,1,7,69.6,0,APAC,Basic,0
0.538,1,3.39,1,1,55.9,0,EU,Premium,0
0.425,2,3.3,0,16,45.1,1,NA,Standard,1
0.513,3,3.33,1,11,40.3,0,NA,Basic,1
0.565,1,1.99,0,31,22.8,1,APAC,Standard,0
0.407,1,2.35,0,9,19.2,1,LATAM,Standard,1
0.456,0,0.75,0,5,41.7,0,EU,Standard,0
0.573,1,0.0,0,54,17.2,1,NA,Premium,0
0.536,0,2.79,0,19,78.0,1,NA,Standard,0
0.545,1,1.51,0,19,46.9,0,APAC,Basic,0
0.632,2,5.16,0,10,86.9,0,NA,Standard,0
0.548,3,0.0,1,19,36.3,0,APAC,Premium,0
0.559,3,3.58,0,25,33.2,0,NA,Standard,1
0.683,0,7.24,0,11,56.8,0,NA,AdTier,1
0.507,2,2.63,0,8,39.8,1,NA,Basic,0
0.472,2,2.99,1,11,64.5,0,NA,Standard,0
0.546,0,3.85,0,11,73.8,1,LATAM,Premium,0
0.546,2,4.01,0,3,67.0,1,NA,Premium,0
0.488,1,2.18,1,27,72.3,2,APAC,Premium,0
0.458,1,0.98,0,1,61.4,0,LATAM,Basic,0
0.659,2,4.31,1,30,34.0,0,APAC,Basic,1
0.54,2,0.0,0,28,67.8,0,LATAM,Standard,0
0.476,2,4.66,1,28,59.0,0,NA,AdTier,0
0.575,0,2.22,0,19,32.6,1,EU,Basic,0
0.513,4,3.01,1,30,35.2,0,EU,AdTier,0
0.505,3,1.95,0,26,43.2,1,APAC,Premium,0
0.554,2,5.86,0,3,67.2,0,APAC,AdTier,1
0.442,2,3.5,1,11,47.3,0,APAC,Basic,0
0.541,2,2.36,0,34,44.9,0,NA,Basic,1
0.635,0,2.3,0,21,41.8,0,EU,Standard,1
0.548,0,2.7,0,1,37.9,0,APAC,Standard,1
0.497,0,7.79,0,29,21.7,0,NA,AdTier,0
0.49,2,0.37,0,9,60.9,1,NA,AdTier,0
0.495,2,5.17,0,6,24.7,1,NA,Standard,1
0.505,2,4.14,0,51,46.4,1,APAC,Premium,0
0.497,1,6.08,0,11,36.8,0,EU,Premium,0
0.575,5,4.26,1,1,60.3,0,NA,Standard,1
0.416,3,3.01,0,22,38.2,0,LATAM,Standard,0
0.572,1,5.04,0,7,24.9,0,NA,AdTier,1
0.497,1,3.46,0,21,64.8,1,APAC,AdTier,1
0.543,1,4.51,0,9,28.5,0,APAC,AdTier,1
0.452,4,5.86,0,1,48.1,1,EU,Premium,1
0.6,0,3.19,0,1,70.5,0,NA,Standard,0
0.595,6,2.15,0,30,30.4,0,EU,Premium,0
0.578,1,1.71,1,6,42.9,0,NA,Basic,0
0.429,0,3.9,0,26,36.4,0,NA,AdTier,0
0.57,3,1.24,0,1,47.6,0,EU,Standard,0
0.544,2,2.3,0,6,43.6,0,NA,Standard,0
0.424,2,1.06,0,13,63.4,3,LATAM,Premium,0
0.519,1,4.02,1,10,32.6,0,EU,Basic,0
0.542,0,1.5,1,8,70.5,0,NA,Standard,0
0.553,1,0.43,1,7,77.1,0,EU,Standard,0
0.531,2,0.78,0,14,50.1,0,NA,Basic,0
0.537,1,1.86,0,1,29.2,2,NA,Basic,1
0.608,6,2.04,1,1,44.2,1,NA,Basic,1
0.594,3,3.5,1,16,42.5,0,NA,Premium,0
0.4,2,2.68,0,17,80.4,0,EU,Standard,0
0.501,1,3.74,0,33,42.9,0,NA,Basic,0
0.51,2,3.9,0,22,72.7,0,NA,Standard,0
0.415,2,4.48,0,1,47.2,0,APAC,Premium,0
0.526,3,0.0,0,1,45.9,0,NA,Standard,1
0.595,0,0.75,0,36,37.9,0,NA,Standard,0
0.455,2,4.11,1,7,39.8,1,EU,Premium,1
0.54,5,3.42,0,23,62.8,0,APAC,AdTier,1
0.465,3,4.95,1,1,30.4,3,EU,Basic,1
0.48,0,0.0,0,20,64.2,0,NA,Standard,0
0.609,3,2.05,1,3,73.8,2,EU,Standard,1
0.487,0,2.41,1,63,33.2,1,APAC,AdTier,0
0.548,3,3.33,0,16,69.2,1,NA,Standard,0
0.408,3,3.07,0,22,66.0,0,NA,Premium,0
0.632,4,3.94,0,22,62.4,0,APAC,Standard,1
0.556,1,2.77,0,9,32.3,0,EU,Standard,0
0.509,0,5.74,1,23,42.6,1,NA,AdTier,0
0.555,5,6.38,1,1,42.6,0,EU,Basic,1
0.435,4,0.76,1,3,86.8,1,NA,Standard,0
0.591,1,3.09,0,17,44.8,0,EU,AdTier,0
0.501,1,4.6,1,10,41.3,0,APAC,Standard,1
0.508,1,4.17,1,58,22.0,0,NA,Basic,0
0.491,2,2.18,0,63,25.6,0,EU,Standard,0
0.485,2,3.51,1,1,31.3,2,NA,Premium,0
0.562,2,0.0,0,20,52.2,0,APAC,AdTier,0
0.535,5,2.96,0,7,16.5,1,EU,Premium,1
0.559,4,0.08,1,22,31.7,0,NA,AdTier,0
0.519,2,4.02,0,51,7.8,3,EU,Basic,0
0.551,3,0.77,0,19,73.0,0,EU,Premium,0
0.495,4,3.33,0,1,47.1,1,LATAM,Standard,1
0.654,2,3.64,1,4,51.2,1,APAC,Basic,0
0.426,1,3.15,0,9,23.2,1,APAC,Premium,0
0.596,2,1.74,0,2,68.2,0,LATAM,Standard,1
0.602,2,2.58,0,1,75.1,2,NA,Premium,0
0.469,0,5.36,0,4,46.3,1,EU,Premium,0
0.654,0,2.15,0,32,35.4,0,LATAM,Standard,0
0.58,3,3.04,1,35,56.0,0,APAC,Basic,1
0.578,1,1.89,1,20,59.7,1,NA,AdTier,0
0.522,0,5.04,1,1,62.4,1,EU,Premium,0
0.507,2,3.16,1,34,58.3,0,NA,Standard,0
0.507,3,1.47,0,10,64.3,2,APAC,Standard,0
0.543,1,3.01,0,14,31.1,1,EU,Premium,1
0.604,1,2.52,0,46,63.2,0,EU,Basic,0
0.531,4,5.79,0,8,35.9,0,LATAM,Basic,1
0.465,0,2.91,1,5,0.0,0,NA,Standard,0
0.569,4,0.23,0,9,35.7,0,LATAM,Basic,0
0.575,2,4.0,1,11,33.9,0,EU,AdTier,1
0.559,2,6.57,0,18,49.8,1,NA,Standard,0
0.565,2,5.39,0,19,61.8,0,LATAM,Premium,0
0.504,0,0.79,1,11,48.9,0,LATAM,Premium,0
0.464,0,2.46,0,10,85.2,1,LATAM,Basic,0
0.468,3,2.94,0,5,34.5,1,APAC,Basic,1
0.422,0,2.96,0,24,5.2,0,NA,Standard,0
0.534,0,3.76,0,10,50.6,3,NA,Standard,0
0.515,1,2.31,0,63,34.1,0,NA,Basic,0
0.494,1,1.17,1,11,23.3,0,NA,AdTier,0
0.4,2,4.9,1,6,39.0,0,LATAM,Premium,0
0.445,0,0.75,1,5,29.3,0,EU,Standard,0
0.587,3,1.4,1,12,31.3,0,NA,Basic,0
0.48,2,0.74,0,23,75.5,1,APAC,Basic,0
0.542,2,4.22,1,64,47.5,0,EU,Premium,0
0.437,3,3.21,0,20,39.7,1,NA,AdTier,0
0.606,3,4.77,0,31,77.0,0,LATAM,Standard,0
0.511,0,1.43,1,9,39.1,1,EU,Standard,0
0.537,1,0.49,0,33,20.4,0,EU,Standard,0
0.66,0,2.11,0,65,18.5,0,NA,Premium,0
0.611,1,2.64,1,31,43.4,0,EU,AdTier,0
0.502,3,3.42,0,7,12.2,0,EU,Standard,1
0.484,2,0.0,0,13,21.6,0,APAC,AdTier,0
0.5,4,3.96,0,29,37.4,1,NA,Standard,0
0.551,3,1.21,0,39,67.6,0,NA,Standard,0
0.514,1,1.71,0,12,70.8,0,NA,AdTier,0
0.496,1,5.35,0,4,58.2,1,LATAM,Standard,0
0.608,4,0.0,0,1,44.9,2,EU,Basic,1
0.513,2,3.65,0,18,33.6,1,NA,Basic,0
0.658,2,3.64,0,12,52.8,1,APAC,Standard,1
0.525,2,1.36,0,1,80.6,0,APAC,Basic,0
0.627,1,2.11,0,3,47.8,0,APAC,AdTier,0
0.541,0,5.44,0,22,35.8,0,APAC,Premium,1
0.578,3,6.93,0,12,41.8,0,APAC,Standard,0
0.477,4,5.13,0,26,39.7,0,LATAM,Premium,0
0.469,3,6.77,1,1,56.0,1,NA,Standard,0
0.548,0,1.62,0,21,29.7,0,NA,Basic,0
0.579,1,0.0,0,22,53.1,0,NA,Standard,0
0.522,3,2.89,0,15,56.4,1,APAC,Standard,0
0.443,0,4.61,1,45,51.9,0,LATAM,Basic,0
0.438,3,0.0,0,7,23.3,1,NA,Premium,1
0.434,2,1.15,1,58,42.0,0,EU,Standard,0
0.414,0,1.37,1,21,34.5,2,NA,Standard,0
0.527,5,3.71,0,5,43.5,0,APAC,Premium,0
0.588,4,3.46,0,17,31.7,0,NA,Premium,0
0.519,0,1.45,1,5,69.9,1,EU,AdTier,0
0.4,2,3.36,0,7,48.7,1,EU,AdTier,0
0.509,2,0.71,0,5,12.6,0,NA,Basic,1
0.51,3,2.15,0,14,18.4,0,LATAM,Basic,0
0.646,3,0.47,0,2,69.1,0,EU,Standard,1
0.433,3,2.7,1,10,41.4,1,EU,Standard,0
0.497,2,1.4,0,27,37.2,1,NA,AdTier,0
0.622,3,4.38,0,50,67.6,0,EU,Premium,1
0.547,3,2.95,0,29,42.0,0,NA,Standard,1
0.554,3,2.55,1,6,21.1,0,EU,AdTier,0
0.527,2,6.54,0,2,22.4,1,EU,Standard,0
0.54,1,3.77,1,34,57.6,0,NA,Premium,0
0.567,4,2.26,0,9,85.6,0,LATAM,Premium,1
0.471,3,1.83,1,3,61.8,0,NA,Standard,0
0.573,2,0.64,0,2,37.4,0,EU,Standard,0
0.438,0,2.87,0,3,40.5,2,LATAM,Basic,0
0.54,3,3.62,1,52,46.0,0,APAC,Basic,0
0.531,4,0.0,1,29,4.6,0,APAC,Standard,0
0.483,1,0.27,0,10,45.5,1,NA,Premium,0
0.519,4,1.97,1,36,56.7,1,EU,Standard,0
0.483,1,0.8,0,4,80.5,1,APAC,AdTier,0
0.456,0,3.09,1,45,66.8,1,EU,Standard,0
0.499,6,3.36,1,6,83.6,0,EU,Standard,0
0.454,4,2.76,1,9,78.6,1,LATAM,Standard,0
0.539,2,4.1,0,22,72.9,0,EU,Basic,0
0.451,2,1.83,1,3,45.5,0,APAC,Standard,0
0.563,4,2.91,1,2,51.9,0,APAC,Standard,0
0.449,4,0.99,0,8,11.6,0,APAC,AdTier,0
0.486,0,3.57,1,2,47.6,0,NA,Premium,0
0.483,2,3.15,0,16,56.3,0,APAC,Basic,0
0.6,3,0.6,0,1,39.3,0,APAC,Standard,0
0.54,0,2.69,1,9,14.2,0,EU,AdTier,0
0.507,4,2.92,0,5,76.7,1,NA,AdTier,0
0.55,4,3.56,1,45,53.1,0,NA,AdTier,0
0.4,2,3.64,0,27,79.4,2,EU,Premium,0
0.517,2,1.56,0,51,59.8,0,APAC,Standard,1
0.64,1,4.53,1,2,72.4,0,LATAM,Premium,0
0.528,1,4.05,1,7,68.3,0,NA,Premium,0
0.524,3,1.55,1,25,31.4,0,NA,Premium,0
0.553,0,0.71,0,8,34.8,0,APAC,AdTier,0
0.574,3,1.7,0,45,36.4,1,LATAM,Standard,0
0.4,2,0.06,1,26,25.7,0,NA,Standard,0
0.419,1,3.42,1,35,80.3,0,NA,Standard,0
0.533,2,5.37,1,74,45.8,0,APAC,AdTier,0
0.477,5,5.84,0,18,54.2,0,NA,Standard,0
0.599,4,0.82,0,5,18.4,0,EU,Basic,0
0.501,4,4.57,0,18,61.4,0,LATAM,Standard,0
0.404,3,3.17,0,7,36.8,2,APAC,Premium,1
0.444,2,0.0,0,47,70.2,0,NA,AdTier,0
0.4,5,2.34,0,5,31.3,0,LATAM,Standard,0
0.506,1,2.11,1,6,71.6,1,APAC,Premium,0
0.509,1,5.42,0,40,63.8,1,LATAM,Standard,0
0.495,5,1.26,0,10,35.7,0,EU,Standard,0
0.585,1,4.13,1,1,73.4,0,EU,Standard,0
0.592,2,2.79,0,1,68.0,0,NA,Premium,1
0.51,1,0.11,1,10,54.8,1,EU,AdTier,0
0.4,1,1.9,1,6,25.1,2,EU,Premium,0
0.557,1,6.06,1,16,61.0,1,EU,Standard,0
0.553,3,2.65,1,43,46.3,1,EU,Standard,0
0.539,4,4.81,1,19,46.0,1,EU,AdTier,1
0.579,3,4.7,0,9,46.5,0,NA,AdTier,0
0.45,2,2.1,1,2,44.4,0,LATAM,Premium,0
0.641,3,0.43,1,28,27.7,1,APAC,Premium,0
0.462,5,0.7,0,2,14.7,0,EU,Premium,0
0.565,1,5.9,1,3,10.6,0,APAC,Standard,0
0.419,2,3.3,0,7,51.0,1,LATAM,Standard,0
0.464,3,0.0,0,58,0.0,0,EU,AdTier,1
0.611,3,4.67,0,8,59.5,1,APAC,Standard,1
0.504,2,0.0,1,16,55.1,0,NA,Standard,1
0.57,1,1.35,0,4,38.9,0,LATAM,Basic,0
0.534,3,3.16,0,13,65.5,0,NA,Standard,1
0.514,1,8.04,0,17,39.8,3,APAC,Standard,0
0.602,1,4.63,1,16,53.4,0,EU,Standard,0
0.506,3,2.04,1,50,5.8,0,EU,AdTier,0
0.413,3,3.06,0,11,0.2,0,EU,AdTier,0
0.472,4,4.84,0,8,40.3,0,EU,AdTier,1
0.553,0,5.84,1,34,53.5,2,LATAM,Standard,0
0.544,2,2.5,0,4,64.0,0,NA,Premium,0
0.426,2,2.56,0,45,41.5,0,NA,Standard,0
0.477,1,1.34,1,9,49.9,0,APAC,Standard,0
0.485,3,4.33,1,7,60.7,0,NA,Standard,0
0.498,2,5.05,0,23,42.4,0,NA,Standard,0
0.437,2,0.0,0,10,56.7,0,NA,Standard,0
0.482,1,2.21,0,1,22.4,0,NA,Standard,0
0.476,3,0.57,1,28,11.9,1,APAC,Standard,0
0.566,1,3.3,1,8,34.3,0,EU,Basic,0
0.569,0,0.52,0,12,60.5,1,NA,AdTier,0
0.511,3,0.36,1,14,30.8,0,EU,Standard,0
0.496,1,5.25,0,3,58.0,2,EU,Premium,1
0.528,1,2.67,1,5,24.5,1,APAC,Basic,0
0.471,2,2.88,1,51,33.3,1,EU,Standard,0
0.451,3,3.86,1,18,49.8,1,NA,Basic,0
0.464,0,4.94,1,15,31.7,0,LATAM,AdTier,0
0.482,2,2.16,0,8,35.0,0,NA,AdTier,0
0.45,0,2.21,0,17,0.0,0,LATAM,AdTier,0
0.53,2,2.22,0,4,61.8,0,NA,Standard,0
0.564,3,5.16,1,7,42.6,0,EU,Standard,0
0.425,3,2.86,0,49,26.1,0,NA,AdTier,0
0.522,0,2.42,0,3,81.7,0,APAC,Standard,0
0.507,3,3.78,0,4,29.2,0,EU,Basic,1
0.54,3,6.66,0,2,34.7,2,APAC,Standard,1
0.519,4,3.15,0,2,25.8,1,APAC,AdTier,0
0.433,2,2.46,0,2,67.1,0,NA,Basic,0
0.444,2,6.89,0,10,73.7,0,NA,Basic,0
0.522,0,5.66,0,7,71.7,0,LATAM,Standard,0
0.582,3,5.37,0,9,71.5,0,EU,Standard,0
0.4,3,2.0,1,3,33.1,0,APAC,Standard,0
0.541,1,1.8,1,81,78.4,0,EU,Standard,0
0.591,2,0.0,1,10,41.1,1,APAC,Premium,0
0.511,4,4.93,1,1,14.1,0,EU,Basic,1
0.553,3,3.15,0,14,36.5,0,APAC,Premium,1
0.478,1,0.0,1,1,51.5,0,LATAM,Standard,0
0.513,4,5.4,0,63,32.1,0,APAC,Standard,0
0.423,1,2.33,0,23,47.9,0,LATAM,Premium,0
0.4,0,2.57,0,2,55.7,0,NA,Premium,0
0.577,1,0.0,1,7,53.2,0,APAC,Premium,0
0.461,2,3.98,0,3,58.1,0,EU,Standard,0
0.493,0,4.0,0,5,41.4,0,NA,AdTier,0
0.437,1,2.9,1,24,30.5,2,EU,Premium,0
0.435,6,2.16,0,10,15.6,2,EU,Standard,0
0.51,4,8.25,1,32,43.2,2,LATAM,Standard,1
0.476,3,0.59,1,6,34.3,0,EU,Standard,0
0.543,1,1.56,0,22,42.6,1,NA,Premium,0
0.547,4,4.42,0,6,3.6,0,LATAM,Standard,1
0.539,3,0.97,0,12,14.6,0,NA,Standard,0
0.534,0,0.82,1,2,55.2,0,EU,AdTier,0
0.615,4,5.26,1,1,12.3,0,EU,Standard,0
0.456,7,4.21,1,4,41.2,0,NA,Basic,0
0.517,1,3.97,0,30,28.4,1,EU,AdTier,0
0.588,6,3.36,0,21,27.1,2,EU,Standard,1
0.596,2,1.62,1,81,46.7,1,APAC,Basic,0
0.435,2,2.49,1,60,45.6,0,LATAM,Standard,0
0.501,1,2.84,0,1,55.9,0,LATAM,Standard,0
0.601,3,4.69,0,59,23.0,0,NA,Standard,0
0.55,4,3.85,0,4,27.3,1,NA,Standard,1
0.532,1,1.14,0,4,67.5,0,NA,Premium,0
0.507,1,4.58,1,16,40.5,3,LATAM,Standard,0
0.497,2,0.0,1,15,52.3,0,NA,Premium,0
0.537,1,2.36,0,27,35.1,0,EU,Premium,0
0.505,2,0.72,0,3,54.1,0,LATAM,AdTier,0
0.517,4,1.29,0,17,0.0,1,EU,Standard,1
0.525,1,6.85,0,14,68.0,1,NA,Standard,0
0.479,4,0.06,0,10,35.9,0,NA,AdTier,0
0.552,2,1.36,0,2,20.0,0,APAC,AdTier,0
0.695,3,4.02,0,34,23.8,0,NA,Premium,0
0.413,4,2.06,1,41,39.7,1,EU,Standard,0
0.539,4,3.31,1,18,42.8,2,NA,AdTier,0
0.474,2,5.86,1,11,47.8,0,APAC,Standard,0
0.555,5,4.31,0,1,21.1,1,LATAM,Standard,1
0.523,1,2.06,0,21,62.4,0,EU,Premium,0
0.566,4,2.73,0,50,34.5,0,EU,Standard,1
0.591,5,4.06,0,12,33.5,2,NA,Basic,1
0.532,4,4.27,0,9,40.5,1,NA,Premium,1
0.588,3,3.04,0,2,58.3,0,LATAM,Premium,0
0.4,2,3.72,1,10,44.3,0,EU,AdTier,0
0.615,0,3.72,1,6,34.2,0,NA,Basic,0
0.543,2,2.82,1,1,38.5,1,APAC,Standard,0
0.585,2,1.79,1,4,69.4,0,LATAM,Premium,0
0.447,2,4.49,1,5,66.1,1,NA,Premium,0
0.47,2,3.58,1,16,52.3,0,EU,AdTier,0
0.529,1,0.0,1,5,48.0,0,LATAM,Standard,0
0.519,2,1.35,0,5,91.3,0,NA,Standard,0
0.537,3,2.04,1,18,54.3,0,APAC,Standard,1
0.585,3,2.6,1,22,48.6,1,EU,Standard,0
0.414,0,5.41,0,19,41.0,0,EU,Premium,0
0.578,1,9.4,0,41,52.1,0,NA,Standard,0
0.52,3,0.0,1,48,0.0,1,NA,Standard,0
0.508,4,3.61,1,15,65.6,2,EU,Premium,0
0.432,3,3.14,0,25,19.6,0,NA,Standard,0
0.55,2,2.64,0,32,30.6,0,EU,AdTier,1
0.4,1,4.09,0,58,17.0,0,NA,Basic,0
0.559,1,3.3,0,8,30.3,0,APAC,Standard,0
0.43,2,2.28,0,1,38.2,1,NA,Basic,0
0.523,3,3.06,0,7,62.8,1,APAC,Standard,0
0.513,3,4.11,0,8,70.8,1,NA,AdTier,0
0.59,2,3.92,0,7,83.8,2,APAC,Premium,0
0.509,3,3.38,1,6,47.0,0,NA,Standard,0
0.478,2,1.83,0,2,40.6,1,NA,Standard,0
0.49,3,8.64,0,23,60.6,1,NA,Basic,1
0.596,2,3.72,0,1,27.9,1,APAC,Standard,1
0.552,1,4.52,1,7,25.7,0,NA,Standard,1
0.497,2,1.98,0,1,37.7,1,APAC,Basic,1
0.506,3,3.38,0,32,44.3,0,NA,Premium,0
0.426,3,3.36,0,19,3.7,0,LATAM,Premium,1
0.543,1,0.0,0,8,66.3,1,NA,AdTier,0
0.414,1,1.57,1,3,49.8,0,NA,Standard,0
0.565,1,1.53,0,38,61.0,1,EU,Standard,0
0.528,0,1.8,0,8,13.6,0,NA,Standard,0
0.663,0,0.86,0,13,31.7,1,EU,AdTier,1
